"Site","Time","LocationName","analyte","Value","Discharge"
"FC231176",1999-07-07 12:23:00,"Rangitaiki at SH5","NNN (g/m^3)",1.23,NA
"FC231176",1999-07-07 12:23:00,"Rangitaiki at SH5","TP (g/m^3)",0.016000001,NA
"FC231176",1999-07-07 12:23:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017000001,NA
"FC231176",1999-10-06 11:11:00,"Rangitaiki at SH5","NNN (g/m^3)",0.79000002,NA
"FC231176",1999-10-06 11:11:00,"Rangitaiki at SH5","TP (g/m^3)",0.021,NA
"FC231176",1999-10-06 11:11:00,"Rangitaiki at SH5","DRP (g/m^3)",0.014,NA
"FC231176",2000-01-13 11:20:00,"Rangitaiki at SH5","NNN (g/m^3)",0.70999998,NA
"FC231176",2000-01-13 11:20:00,"Rangitaiki at SH5","TP (g/m^3)",0.018999999,NA
"FC231176",2000-01-13 11:20:00,"Rangitaiki at SH5","DRP (g/m^3)",0.012,NA
"FC231176",2000-07-11 13:20:00,"Rangitaiki at SH5","NNN (g/m^3)",0.61000001,NA
"FC231176",2000-07-11 13:20:00,"Rangitaiki at SH5","TP (g/m^3)",0.024,NA
"FC231176",2000-07-11 13:20:00,"Rangitaiki at SH5","DRP (g/m^3)",0.016000001,NA
"FC231176",2000-10-11 11:24:00,"Rangitaiki at SH5","NNN (g/m^3)",0.77999997,NA
"FC231176",2000-10-11 11:24:00,"Rangitaiki at SH5","TP (g/m^3)",0.021,NA
"FC231176",2000-10-11 11:24:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017000001,NA
"FC231176",2001-01-16 12:16:00,"Rangitaiki at SH5","NNN (g/m^3)",0.73400003,NA
"FC231176",2001-01-16 12:16:00,"Rangitaiki at SH5","TP (g/m^3)",0.017999999,NA
"FC231176",2001-01-16 12:16:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0089999996,NA
"FC231176",2001-04-23 13:05:00,"Rangitaiki at SH5","NNN (g/m^3)",0.61400002,NA
"FC231176",2001-04-23 13:05:00,"Rangitaiki at SH5","TP (g/m^3)",0.018999999,NA
"FC231176",2001-04-23 13:05:00,"Rangitaiki at SH5","DRP (g/m^3)",0.024,NA
"FC231176",2004-07-12 08:15:00,"Rangitaiki at SH5","NNN (g/m^3)",1.39,NA
"FC231176",2004-07-12 08:15:00,"Rangitaiki at SH5","TP (g/m^3)",0.028999999,NA
"FC231176",2004-07-12 08:15:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017000001,NA
"FC231176",2004-08-10 12:25:00,"Rangitaiki at SH5","NNN (g/m^3)",1.4,NA
"FC231176",2004-08-10 12:25:00,"Rangitaiki at SH5","TP (g/m^3)",0.034000002,NA
"FC231176",2004-08-10 12:25:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0099999998,NA
"FC231176",2004-09-06 13:15:00,"Rangitaiki at SH5","NNN (g/m^3)",1.52,NA
"FC231176",2004-09-06 13:15:00,"Rangitaiki at SH5","TP (g/m^3)",0.022,NA
"FC231176",2004-09-06 13:15:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017999999,NA
"FC231176",2004-10-13 10:39:00,"Rangitaiki at SH5","NNN (g/m^3)",1.96,4.502
"FC231176",2004-10-13 10:39:00,"Rangitaiki at SH5","TP (g/m^3)",0.022,4.502
"FC231176",2004-10-13 10:39:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0089999996,4.502
"FC231176",2004-11-09 09:45:00,"Rangitaiki at SH5","NNN (g/m^3)",1.52,NA
"FC231176",2004-11-09 09:45:00,"Rangitaiki at SH5","TP (g/m^3)",0.029999999,NA
"FC231176",2004-11-09 09:45:00,"Rangitaiki at SH5","DRP (g/m^3)",0.037999999,NA
"FC231176",2004-12-06 10:25:00,"Rangitaiki at SH5","NNN (g/m^3)",1.4400001,NA
"FC231176",2004-12-06 10:25:00,"Rangitaiki at SH5","TP (g/m^3)",0.029999999,NA
"FC231176",2004-12-06 10:25:00,"Rangitaiki at SH5","DRP (g/m^3)",0.021,NA
"FC231176",2005-01-26 09:35:00,"Rangitaiki at SH5","NNN (g/m^3)",1.28,NA
"FC231176",2005-01-26 09:35:00,"Rangitaiki at SH5","TP (g/m^3)",0.093000002,NA
"FC231176",2005-01-26 09:35:00,"Rangitaiki at SH5","DRP (g/m^3)",0.035,NA
"FC231176",2005-02-09 10:00:00,"Rangitaiki at SH5","NNN (g/m^3)",1.5,NA
"FC231176",2005-02-09 10:00:00,"Rangitaiki at SH5","TP (g/m^3)",0.023,NA
"FC231176",2005-02-09 10:00:00,"Rangitaiki at SH5","DRP (g/m^3)",0.028999999,NA
"FC231176",2005-03-30 10:55:00,"Rangitaiki at SH5","NNN (g/m^3)",1.26,NA
"FC231176",2005-03-30 10:55:00,"Rangitaiki at SH5","TP (g/m^3)",0.024,NA
"FC231176",2005-03-30 10:55:00,"Rangitaiki at SH5","DRP (g/m^3)",0.015,NA
"FC231176",2005-04-18 11:35:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017999999,2.022
"FC231176",2005-04-18 11:35:00,"Rangitaiki at SH5","TP (g/m^3)",0.017999999,2.022
"FC231176",2005-04-18 11:35:00,"Rangitaiki at SH5","NNN (g/m^3)",1.26,2.022
"FC231176",2005-05-11 11:30:00,"Rangitaiki at SH5","DRP (g/m^3)",0.02,1.863
"FC231176",2005-05-11 11:30:00,"Rangitaiki at SH5","NNN (g/m^3)",1.2,1.863
"FC231176",2005-05-11 11:30:00,"Rangitaiki at SH5","TP (g/m^3)",0.021,1.863
"FC231176",2005-06-15 10:50:00,"Rangitaiki at SH5","TP (g/m^3)",0.022,1.782
"FC231176",2005-06-15 10:50:00,"Rangitaiki at SH5","DRP (g/m^3)",0.012,1.782
"FC231176",2005-06-15 10:50:00,"Rangitaiki at SH5","NNN (g/m^3)",1.15,1.782
"FC231176",2010-01-20 11:25:00,"Rangitaiki at SH5","TN (g/m^3)",1.12,NA
"FC231176",2010-01-20 11:25:00,"Rangitaiki at SH5","NNN (g/m^3)",1.08,NA
"FC231176",2010-01-20 11:25:00,"Rangitaiki at SH5","TP (g/m^3)",0.021,NA
"FC231176",2010-01-20 11:25:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0070000002,NA
"FC231176",2010-04-21 12:25:00,"Rangitaiki at SH5","TN (g/m^3)",1.0599999,NA
"FC231176",2010-04-21 12:25:00,"Rangitaiki at SH5","NNN (g/m^3)",0.89899999,NA
"FC231176",2010-04-21 12:25:00,"Rangitaiki at SH5","TP (g/m^3)",0.189,NA
"FC231176",2010-04-21 12:25:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0060000001,NA
"FC231176",2010-07-06 11:50:00,"Rangitaiki at SH5","TP (g/m^3)",0.017999999,3.242
"FC231176",2010-07-06 11:50:00,"Rangitaiki at SH5","NNN (g/m^3)",1,3.242
"FC231176",2010-07-06 11:50:00,"Rangitaiki at SH5","TN (g/m^3)",1.09,3.242
"FC231176",2010-07-06 11:50:00,"Rangitaiki at SH5","DRP (g/m^3)",0.0060000001,3.242
"FC231176",2010-10-29 11:10:00,"Rangitaiki at SH5","TN (g/m^3)",1.3099999,NA
"FC231176",2010-10-29 11:10:00,"Rangitaiki at SH5","NNN (g/m^3)",1.37,NA
"FC231176",2010-10-29 11:10:00,"Rangitaiki at SH5","TP (g/m^3)",0.026000001,NA
"FC231176",2010-10-29 11:10:00,"Rangitaiki at SH5","DRP (g/m^3)",0.015,NA
"FC231176",2011-01-26 12:30:00,"Rangitaiki at SH5","TN (g/m^3)",0.92400002,NA
"FC231176",2011-01-26 12:30:00,"Rangitaiki at SH5","NNN (g/m^3)",0.73500001,NA
"FC231176",2011-01-26 12:30:00,"Rangitaiki at SH5","TP (g/m^3)",0.039000001,NA
"FC231176",2011-01-26 12:30:00,"Rangitaiki at SH5","DRP (g/m^3)",0.016000001,NA
"FC231176",2011-04-11 11:20:00,"Rangitaiki at SH5","TN (g/m^3)",1.244,NA
"FC231176",2011-04-11 11:20:00,"Rangitaiki at SH5","NNN (g/m^3)",1.29,NA
"FC231176",2011-04-11 11:20:00,"Rangitaiki at SH5","TP (g/m^3)",0.039000001,NA
"FC231176",2011-04-11 11:20:00,"Rangitaiki at SH5","DRP (g/m^3)",0.016000001,NA
"FC231176",2011-07-18 12:40:00,"Rangitaiki at SH5","TN (g/m^3)",1.4299999,NA
"FC231176",2011-07-18 12:40:00,"Rangitaiki at SH5","NNN (g/m^3)",1.42,NA
"FC231176",2011-07-18 12:40:00,"Rangitaiki at SH5","TP (g/m^3)",0.037999999,NA
"FC231176",2011-07-18 12:40:00,"Rangitaiki at SH5","DRP (g/m^3)",0.017999999,NA
"FC231176",2011-10-27 11:56:00,"Rangitaiki at SH5","TN (g/m^3)",1.33,NA
"FC231176",2011-10-27 11:56:00,"Rangitaiki at SH5","NNN (g/m^3)",1.22,NA
"FC231176",2011-10-27 11:56:00,"Rangitaiki at SH5","TP (g/m^3)",0.029999999,NA
"FC231176",2011-10-27 11:56:00,"Rangitaiki at SH5","DRP (g/m^3)",0.013,NA
"FC231176",2012-01-23 11:58:00,"Rangitaiki at SH5","TN (g/m^3)",1.22,3.1
"FC231176",2012-01-23 11:58:00,"Rangitaiki at SH5","TP (g/m^3)",0.037,3.1
"FC231176",2012-01-23 11:58:00,"Rangitaiki at SH5","NNN (g/m^3)",1.11,3.1
"FC231176",2012-01-23 11:58:00,"Rangitaiki at SH5","DRP (g/m^3)",0.011,3.1
"FC231176",2012-04-10 12:20:00,"Rangitaiki at SH5","NNN (g/m^3)",1.03,2.359
"FC231176",2012-04-10 12:20:00,"Rangitaiki at SH5","TP (g/m^3)",0.048,2.359
"FC231176",2012-04-10 12:20:00,"Rangitaiki at SH5","DRP (g/m^3)",0.013,2.359
"FC231176",2012-04-10 12:20:00,"Rangitaiki at SH5","TN (g/m^3)",1.1,2.359
"FC231176",2012-07-10 13:35:00,"Rangitaiki at SH5","TN (g/m^3)",1.25,NA
"FC231176",2012-07-10 13:35:00,"Rangitaiki at SH5","NNN (g/m^3)",1.12,NA
"FC231176",2012-07-10 13:35:00,"Rangitaiki at SH5","TP (g/m^3)",0.034000002,NA
"FC231176",2012-07-10 13:35:00,"Rangitaiki at SH5","DRP (g/m^3)",0.012,NA
"FC231176",2012-10-10 11:20:00,"Rangitaiki at SH5","TN (g/m^3)",1.45,NA
"FC231176",2012-10-10 11:20:00,"Rangitaiki at SH5","NNN (g/m^3)",1.33,NA
"FC231176",2012-10-10 11:20:00,"Rangitaiki at SH5","TP (g/m^3)",0.030999999,NA
"FC231176",2012-10-10 11:20:00,"Rangitaiki at SH5","DRP (g/m^3)",0.012,NA
"FC231176",2013-01-22 12:00:00,"Rangitaiki at SH5","NNN (g/m^3)",1.22,1.959
"FC231176",2013-01-22 12:00:00,"Rangitaiki at SH5","TN (g/m^3)",1.3099999,1.959
"FC231176",2013-01-22 12:00:00,"Rangitaiki at SH5","TP (g/m^3)",0.035999998,1.959
