"Site","LocationName","Time","Value","Quality","Approval","Qualifiers","Parameter","Unit","Sample_Number","Project_Id","LowerDetectionLimit","UpperDetectionLimit","Method","CollectionMethod","Lab","Error","Comment","ACTION","Samp_Comment","Cloud_Cover","Num_Swimmers","Tide_Cycle","Tide","Wind_Direction","Wind_Speed","Weather_Today","Weather_Yest","Surface_Cond","Bore_Type","Bore_Number","Bore_Collect_Method","Bore_Sampled_From","Bore_Pump_Rate","Bore_Pump_Duration","Bore_Protocol","Bore_Probe","Odour"
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-01-20 07:53:00,0.117,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-02-17 07:40:00,0.115,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-03-18 08:55:00,0.111,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-04-14 08:30:00,0.123,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-05-19 08:15:00,0.124,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-06-16 08:25:00,0.054000001,"200","Validated","Labstar - Legacy Data","TN (g/m^3)","g/m^3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-07-21 09:35:00,0.094,"200","Validated","Routine","TN (g/m^3)","g/m^3","15/0067-1","15/0067",0.00999999977648258,NA,"APHA 4500-P J",NA,"BoPRC",NA,NA,NA,"<p>No visible algae, actual site depth 70.4m, cloud cover 1</p> ",NA,0,NA,NA,"SW","GENTLE","FINE",NA,"CHOPPY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-08-18 08:55:00,0.108,"200","Validated","Routine","TN (g/m^3)","g/m^3","15/0218-1","15/0218",0.00999999977648258,NA,"APHA 4500-P J",NA,"BoPRC",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-09-15,0.106,"200","Validated","Routine","TN (g/m^3)","g/m^3","15/0345-1","15/0345",0.00999999977648258,NA,"APHA 4500-P J",NA,"BoPRC",NA,NA,NA,NA,NA,0,NA,NA,"S","LIGHT","PARTLY_CLOUDY",NA,"CALM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HL508168_INT","Lake Rotoma at Site 1 (Integrated)",2015-10-20,0.095,"200","Validated","Routine","TN (g/m^3)","g/m^3","15/0509-1","15/0509",0.00999999977648258,NA,"APHA 4500-P J",NA,"BoPRC",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
