Site,LocationName,Time,Value,Quality,Approval,Qualifiers,Parameter,Unit
FC231176,Rangitaiki at SH5,20/01/2023,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:05,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:10,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:15,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:20,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:25,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:30,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:35,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:40,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:45,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:50,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 0:55,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:00,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:05,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:10,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:15,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:20,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:25,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:30,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:35,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:40,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:45,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:50,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 1:55,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:00,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:05,4.538579334,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:10,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:15,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:20,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:25,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:30,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:35,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:40,4.522521067,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:45,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:50,4.527870907,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 2:55,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 3:00,4.533223663,600,Approved,,Discharge,m^3/s
FC231176,Rangitaiki at SH5,20/01/2023 3:05,4.533223663,600,Approved,,Discharge,m^3/s
